"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\.eslintrc.js", "JavaScript", 0, 25, 6, 1, 32
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\app.js", "JavaScript", 0, 160, 27, 21, 208
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\app.json", "JSON", 54, 0, 0, 0, 54
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\location\location.js", "JavaScript", 0, 289, 45, 30, 364
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\location\location.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\login\login.js", "JavaScript", 0, 126, 37, 18, 181
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\login\login.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\logs\logs.js", "JavaScript", 0, 16, 1, 2, 19
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\logs\logs.json", "JSON", 4, 0, 0, 0, 4
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\mine\mine.js", "JavaScript", 0, 56, 34, 22, 112
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\mine\mine.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\password\password.js", "JavaScript", 0, 64, 28, 20, 112
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\password\password.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\register\register.js", "JavaScript", 0, 106, 43, 17, 166
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\register\register.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\stop\stop.js", "JavaScript", 0, 158, 35, 21, 214
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\stop\stop.json", "JSON", 3, 0, 0, 0, 3
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\task\task.js", "JavaScript", 0, 241, 38, 25, 304
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\pages\task\task.json", "JSON", 4, 0, 0, 0, 4
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\project.config.json", "JSON", 28, 0, 0, 0, 28
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\project.private.config.json", "JSON", 49, 0, 0, 0, 49
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\sitemap.json", "JSON", 7, 0, 0, 0, 7
"f:\Program\applet\StableBuild1.06.2402040\WeChatProjects\schoolbus-driver\utils\util.js", "JavaScript", 0, 16, 0, 4, 20
"Total", "-", 164, 1257, 294, 181, 1896